,Mkt-RF,SMB,HML,RF
20210503,0.17,0.43,1.69,0
20210504,-0.89,-0.76,2,0
20210505,-0.06,-0.49,1.37,0
20210506,0.48,-0.8,1.2,0
20210507,0.84,0.41,-0.08,0
20210510,-1.36,-1.66,1.69,0
20210511,-0.63,0.95,-0.9,0
20210512,-2.34,-1.3,0.69,0
20210513,1.02,0.26,1.11,0
20210514,1.81,0.98,-0.16,0
20210517,-0.24,0.58,0.85,0
20210518,-0.69,0.26,-0.93,0
20210519,-0.34,-0.36,-0.47,0
20210520,1.15,-0.09,-1.43,0
20210521,-0.04,0.21,0.98,0
20210524,0.99,-0.37,-0.7,0
20210525,-0.3,-0.61,-1.24,0
20210526,0.47,1.75,0.56,0
20210527,0.28,0.8,0.95,0
20210528,0.04,-0.3,-0.29,0
20210601,0.03,1.11,1.45,0
20210602,0.12,-0.13,0.33,0
20210603,-0.53,-0.52,0.77,0
20210604,0.89,-0.34,-0.91,0
20210607,0.15,1.55,-0.96,0
20210608,0.19,1.14,-0.31,0
20210609,-0.3,-0.31,-0.84,0
20210610,0.4,-0.86,-2.03,0
20210611,0.37,0.67,0.18,0
20210614,0.15,-0.29,-1.61,0
20210615,-0.3,-0.02,1.3,0
20210616,-0.45,0.44,0.2,0
20210617,0.01,-0.48,-3.59,0
20210618,-1.22,-0.42,-1.45,0
20210621,1.34,0.6,1.06,0
20210622,0.58,0.05,-0.44,0
20210623,0.01,0.55,-0.29,0
20210624,0.69,0.64,0.25,0
20210625,0.31,-0.69,0.43,0
20210628,0.22,-0.5,-1.6,0
20210629,0,-0.24,-0.3,0
20210630,0.07,-0.12,0.76,0
20210701,0.43,0.37,0.43,0
20210702,0.56,-1.34,-0.73,0
20210706,-0.28,-0.66,-1.98,0
20210707,0.09,-0.91,0.08,0
20210708,-0.86,0.14,-0.78,0
20210709,1.25,0.64,1.56,0
20210712,0.23,-0.18,0.58,0
20210713,-0.56,-1.13,-0.42,0
20210714,-0.26,-1.15,0.33,0
20210715,-0.38,-0.35,0.79,0
20210716,-0.77,-0.24,-1.25,0
20210719,-1.41,0.3,-1.75,0
20210720,1.69,0.79,0.16,0
20210721,0.95,0.63,0.81,0
20210722,0.09,-1.33,-1,0
20210723,0.98,-0.09,-0.46,0
20210726,0.18,-0.08,1.33,0
20210727,-0.66,-0.66,0.6,0
20210728,0.27,1.39,-0.65,0
20210729,0.41,0.01,0.95,0
20210730,-0.65,-0.08,-0.17,0
20210802,-0.12,-0.15,-0.41,0
20210803,0.73,-0.47,0.9,0
20210804,-0.39,-0.63,-1.55,0
20210805,0.74,1.13,-0.1,0
20210806,0.09,0.06,1.87,0
20210809,0.01,-0.37,-0.24,0
20210810,0.06,0.01,1.81,0
20210811,0.19,-0.02,1.44,0
20210812,0.24,-0.57,-0.4,0
20210813,0,-0.85,-0.24,0
20210816,-0.05,-0.84,0.05,0
20210817,-0.8,-0.44,-0.15,0
20210818,-0.95,0.1,-0.18,0
20210819,-0.15,-0.79,-0.8,0
20210820,0.92,1,-0.49,0
20210823,1.08,0.92,-0.83,0
20210824,0.41,0.34,0.38,0
20210825,0.26,-0.04,0.34,0
20210826,-0.65,-0.4,-0.31,0
20210827,1.07,1.62,0.3,0
20210830,0.35,-0.35,-1.38,0
20210831,-0.13,0.43,-0.05,0
20210901,0.11,0.58,-0.93,0
20210902,0.36,0.1,-0.02,0
20210903,-0.01,-0.36,-0.28,0
20210907,-0.36,-0.14,-0.07,0
20210908,-0.34,-0.81,0.05,0
20210909,-0.27,0.23,0.1,0
20210910,-0.76,-0.09,0.05,0
20210913,0.14,-0.03,1.32,0
20210914,-0.66,-0.5,-0.96,0
20210915,0.88,0.04,0.65,0
20210916,-0.03,0.02,-0.55,0
20210917,-0.72,0.97,-0.03,0
20210920,-1.87,-0.58,0.22,0
20210921,0.05,0.45,-0.66,0
20210922,1,0.17,0.54,0
20210923,1.28,0.36,0.91,0
20210924,0.08,-0.46,0.7,0
20210927,-0.1,1.27,2.39,0
20210928,-2.18,-0.42,1.75,0
20210929,0.03,-0.29,0.8,0
20210930,-1.02,0.3,-0.76,0
20211001,1.1,0.4,0.51,0
20211004,-1.43,0,2.33,0
20211005,1.05,-0.52,-0.08,0
20211006,0.33,-0.87,-0.49,0
20211007,1.01,0.53,-0.16,0
20211008,-0.28,-0.59,1.13,0
20211011,-0.72,0.33,-0.26,0
20211012,-0.06,0.64,-0.44,0
20211013,0.43,0.14,-1.04,0
20211014,1.65,-0.34,-0.28,0
20211015,0.63,-1.19,0.28,0
20211018,0.41,-0.23,0.02,0
20211019,0.71,-0.49,-0.22,0
20211020,0.34,-0.02,1.18,0
20211021,0.37,0.2,-0.98,0
20211022,-0.25,-0.23,1.02,0
20211025,0.58,0.49,-0.16,0
20211026,0.04,-0.71,-0.32,0
20211027,-0.76,-0.74,-1.19,0
20211028,1.14,0.87,-0.47,0
20211029,0.22,0.19,-0.82,0
20211101,0.51,2,0.44,0
20211102,0.24,-0.3,-0.54,0
20211103,0.8,1.43,-0.15,0
20211104,0.39,-0.03,-1.37,0
20211105,0.38,0.69,1.18,0
20211108,0.18,0.01,0.08,0
20211109,-0.35,-0.17,0.47,0
20211110,-1.07,-0.64,0.95,0
20211111,0.24,0.52,0.32,0
20211112,0.74,-0.33,-0.9,0
20211115,-0.02,-0.53,0.71,0
20211116,0.5,0.04,-0.69,0
20211117,-0.47,-0.56,-0.27,0
20211118,0.06,-0.56,-0.07,0
20211119,-0.2,-0.17,-1.29,0
20211122,-0.61,-0.51,2.75,0
20211123,-0.03,-0.51,1.74,0
20211124,0.3,0.02,-0.86,0
20211126,-2.22,-1.23,-0.93,0
20211129,1.11,-1.01,-0.87,0
20211130,-1.95,0.51,-1.12,0
20211201,-1.61,-0.77,1.13,0
20211202,1.51,0.72,1.26,0
20211203,-1.21,-1.11,1.05,0
20211206,1.19,0.74,0.61,0
20211207,2.22,0.18,-1.78,0
20211208,0.47,0.66,-0.84,0
20211209,-1.07,-1.35,1.55,0
20211210,0.7,-0.82,0.45,0
20211213,-1.04,-0.32,-0.96,0
20211214,-0.76,-0.67,1.63,0
20211215,1.62,0.38,-1.89,0
20211216,-1.2,-1.59,2.79,0
20211217,-0.65,1.86,-2.32,0
20211220,-1.27,-0.15,-0.4,0
20211221,2.06,0.81,0.19,0
20211222,0.97,0.26,-0.35,0
20211223,0.71,0.35,-0.48,0
20211227,1.22,-0.09,0.28,0
20211228,-0.27,-0.59,0.8,0
20211229,0.06,-0.06,0.15,0
